=== 多语言站全面翻译 ===
2026-07-18T16:13:03.273Z

--- es ---
  P concrete-batching-plant.html: 6
  P concrete-mixer.html: 9
  P double-hzs240-concrete-plant.html: 11
  P hzs-concrete-batching-plant.html: 10
  P hzs120-concrete-batching-plant.html: 11
  P hzs180-concrete-batching-plant.html: 11
  P hzs240-concrete-batching-plant.html: 11
  P hzs25-concrete-batching-plant.html: 11
  P hzs35-concrete-batching-plant.html: 11
  P hzs50-concrete-batching-plant.html: 11
  P hzs60-concrete-batching-plant.html: 11
  P hzs75-concrete-batching-plant.html: 11
  P hzs90-concrete-batching-plant.html: 11
  P js1000-concrete-mixer.html: 8
  P js1500-concrete-mixer.html: 8
  P js2000-concrete-mixer.html: 8
  P js3000-concrete-mixer.html: 8
  P js4000-concrete-mixer.html: 5
  P js4500-concrete-mixer.html: 8
  P js750-concrete-mixer.html: 8
  P mobile-concrete-batching-plant.html: 10
  P trailer-mobile-concrete-plant.html: 10
  C azerbaijan.html: 3
  C bangladesh.html: 2
  C brazil.html: 2
  C egypt.html: 2
  C index.html: 22
  C india.html: 2
  C indonesia.html: 3
  C kazakhstan.html: 3
  C kenya.html: 2
  C malaysia.html: 3
  C nigeria.html: 2
  C pakistan.html: 2
  C philippines.html: 2
  C qatar.html: 2
  C russia.html: 3
  C saudi-arabia.html: 2
  C south-africa.html: 2
  C thailand.html: 2
  C turkey.html: 2
  C uae.html: 2
  C uzbekistan.html: 3
  C vietnam.html: 2
  CO certificates.html: 3
  CO customer-visits.html: 3
  PR projects/index: 1

--- fr ---
  P concrete-batching-plant.html: 1
  P concrete-mixer.html: 6
  P double-hzs240-concrete-plant.html: 5
  P hzs-concrete-batching-plant.html: 5
  P hzs120-concrete-batching-plant.html: 5
  P hzs180-concrete-batching-plant.html: 5
  P hzs240-concrete-batching-plant.html: 5
  P hzs25-concrete-batching-plant.html: 5
  P hzs35-concrete-batching-plant.html: 5
  P hzs50-concrete-batching-plant.html: 5
  P hzs60-concrete-batching-plant.html: 5
  P hzs75-concrete-batching-plant.html: 5
  P hzs90-concrete-batching-plant.html: 5
  P js1000-concrete-mixer.html: 3
  P js1500-concrete-mixer.html: 3
  P js2000-concrete-mixer.html: 3
  P js3000-concrete-mixer.html: 3
  P js4000-concrete-mixer.html: 5
  P js4500-concrete-mixer.html: 3
  P js750-concrete-mixer.html: 3
  P mobile-concrete-batching-plant.html: 4
  P trailer-mobile-concrete-plant.html: 4
  C azerbaijan.html: 3
  C bangladesh.html: 2
  C brazil.html: 2
  C egypt.html: 2
  C index.html: 22
  C india.html: 2
  C indonesia.html: 2
  C kazakhstan.html: 3
  C kenya.html: 2
  C malaysia.html: 2
  C nigeria.html: 2
  C pakistan.html: 2
  C philippines.html: 2
  C qatar.html: 2
  C russia.html: 2
  C saudi-arabia.html: 2
  C south-africa.html: 2
  C thailand.html: 2
  C turkey.html: 2
  C uae.html: 2
  C uzbekistan.html: 3
  C vietnam.html: 2
  PR projects/index: 1

--- pt ---
  P concrete-batching-plant.html: 1
  P concrete-mixer.html: 5
  P double-hzs240-concrete-plant.html: 5
  P hzs-concrete-batching-plant.html: 4
  P hzs120-concrete-batching-plant.html: 5
  P hzs180-concrete-batching-plant.html: 5
  P hzs240-concrete-batching-plant.html: 5
  P hzs25-concrete-batching-plant.html: 5
  P hzs35-concrete-batching-plant.html: 5
  P hzs50-concrete-batching-plant.html: 5
  P hzs60-concrete-batching-plant.html: 5
  P hzs75-concrete-batching-plant.html: 5
  P hzs90-concrete-batching-plant.html: 5
  P js1000-concrete-mixer.html: 3
  P js1500-concrete-mixer.html: 3
  P js2000-concrete-mixer.html: 3
  P js3000-concrete-mixer.html: 3
  P js4000-concrete-mixer.html: 5
  P js4500-concrete-mixer.html: 3
  P js750-concrete-mixer.html: 3
  P mobile-concrete-batching-plant.html: 3
  P trailer-mobile-concrete-plant.html: 3
  C azerbaijan.html: 3
  C bangladesh.html: 2
  C egypt.html: 2
  C index.html: 22
  C india.html: 2
  C indonesia.html: 2
  C kazakhstan.html: 3
  C kenya.html: 2
  C malaysia.html: 2
  C nigeria.html: 2
  C pakistan.html: 2
  C philippines.html: 2
  C qatar.html: 2
  C russia.html: 2
  C saudi-arabia.html: 2
  C south-africa.html: 2
  C thailand.html: 2
  C turkey.html: 2
  C uae.html: 2
  C uzbekistan.html: 3
  C vietnam.html: 2
  PR projects/index: 1

--- ar ---

Done!
